Welcome to the Bank Simulation!
We need some information to initialize your simulation...
How many tellers will you have? How many hours will your bank be open? How many customers do you expect per hour? What is the average transaction time (in minutes) of a customer? How many people can wait in your bank? Enter a seed: 
Individual Customer Service Information:
Customer        Arrival        Service          Queue         Teller      Time Serv      Time Cust      Time Serv     Time Spent
ID              Time           Time            Loc            Loc         Begins          Waits           Ends         in Sys
----            ----           ----           ----           ----           ----           ----           ----           ----
0               0.65            7.7             -1              0           0.65              0           8.36            7.7
1               1.49          10.95             -1              1           1.49              0          12.44          10.95
2               4.61           8.79             -1              2           4.61              0          13.39           8.79
3               7.11          14.06              0              0           8.36           1.25          13.98           6.87
6              12.75          12.42              0              0          13.98           1.23          14.61           1.87
4              10.82           8.34              0              1          12.44           1.62          18.75           7.94
5              12.12           0.63              0              2          13.39           1.27          18.84           6.72
8              16.15           6.64              0              1          18.75            2.6          18.97           2.82
9              18.83          10.36              0              2          18.84              0          19.35           0.52
7              14.01           3.26              0              0          14.61           0.61          19.96           5.95
10              19.5           4.75              0              0          19.96           0.45          20.19           0.69


Customers who did not stay:
Customer        Arrival        Service
132           125.49           3.91              2              2         204.02          78.53         206.45          80.96
151           148.28           3.21              2              2         206.45          58.17         207.64          59.36
138              138           1.19              1              1         197.47          59.47         210.19          72.19
159           156.62          11.76              2              2         207.64          51.02         212.17          55.55
144           140.96           8.88              1              1         210.19          69.23         212.57          71.61
167           161.23           30.2              2              2         212.17          50.93         216.87          55.64
173           167.88            1.6              1              1         212.57           44.7         231.55          63.68
174           168.92          20.73              1              1         231.55          62.63         232.55          63.63
176           176.49           2.75              1              1         232.55          56.06         238.48          61.99
177           176.53           3.04              1              1         238.48          61.95         244.08          67.54
183           181.32           3.53              1              1         244.08          62.76         249.93          68.61
196           191.15           1.74              1              1         249.93          58.78         254.36          63.21
200           196.83           2.19              1              1         254.36          57.53         255.03          58.19
178           177.14          11.36              2              2         216.87          39.74         263.04           85.9
201            197.8           2.43              1              1         255.03          57.23         266.69          68.89
184           182.87           1.67              2              2         263.04          80.17         267.63          84.77
202           199.16           3.64              1              1         266.69          67.53         268.86           69.7
209           211.73            2.1              1              1         268.86          57.13         271.42          59.69
213            212.8           0.51              1              1         271.42          58.63         277.61          64.81
230           231.82          19.31              1              1         277.61          45.79         278.74          46.92
185           183.37          25.48              2              2         267.63          84.26         279.32          95.95
204           202.53           5.14              2              2         279.32          76.79         280.86          78.32
232           232.92           7.58              1              1         278.74          45.82         285.59          52.67
205           204.36           24.7              2              2         280.86          76.49         290.95          86.59
241            238.5           1.88              1              1         285.59           47.1         293.82          55.32
247           244.17           8.39              1              1         293.82          49.65         306.19          62.02
206           205.42           0.75              2              2         290.95          85.53          308.8         103.38
207           206.95           2.92              2              2          308.8         101.85         309.02         102.07
208           208.97           0.15              2              2         309.02         100.05         309.43         100.47
210           211.75           4.59              2              2         309.43          97.68         309.56          97.81
252           252.22           2.98              1              1         306.19          53.97         316.23          64.01
255           255.12          41.57              1              1         316.23          61.11         327.21          72.08
256           255.58           6.78              1              1         327.21          71.63         327.26          71.68
212           212.17          10.13              2              2         309.56          97.39         328.77          116.6
218            219.5           4.66              2              2         328.77         109.26         332.23         112.72
265           263.33           4.11              2              2         332.23           68.9         335.19          71.86
270           267.43           1.93              1              1         327.26          59.83         346.66          79.23
271           269.08           18.3              1              1         346.66          77.58         356.36          87.28
273           271.48           14.1              1              1         356.36          84.88         363.24          91.76
281           277.62          18.55              1              1         363.24          85.62         369.86          92.23
284           279.21          26.62              1              1         369.86          90.65          373.2          93.99
272           271.25           5.66              2              2         335.19          63.94         388.44          117.2
285            279.6           1.57              2              2         388.44         108.84         399.84         120.24
299           286.28           7.43              1              1          373.2          86.92         407.53         121.25
291           281.26           6.41              2              2         399.84         118.58         409.22         127.97
311           296.09           5.33              1              1         407.53         111.43         409.78         113.68
316           306.25           2.79              1              1         409.78         103.53         419.02         112.77
305           291.08           4.24              2              2         409.22         118.14         419.15         128.06
317           309.79           8.35              2              2         419.15         109.35         419.87         110.08
325           316.66           1.69              1              1         419.02         102.36         427.97         111.32
335           327.53           3.64              1              1         427.97         100.44         431.48         103.95
336           328.59          13.98              1              1         431.48         102.89         431.71         103.12
355           346.86           1.84              1              1         431.71          84.85         439.58          92.72
364           357.42           0.17              1              1         439.58          82.16         446.97          89.56
371           363.64           16.9              1              1         446.97          83.34          454.3          90.66
318           309.84              2              2              2         419.87         110.03         474.89         165.05
377           370.05           0.22              1              1          454.3          84.24         478.22         108.17
319           310.35          16.05              2              2         474.89         164.54         478.32         167.97
320           310.96            7.4              2              2         478.32         167.36         478.38         167.43
337           330.46           1.34              2              2         478.38         147.92         478.93         148.47
339           332.62           6.38              2              2         478.93         146.31         481.43         148.82
380           374.15            1.9              1              1         478.22         104.08            482         107.85
342           335.47           0.85              2              2         481.43         145.96         485.03         149.56
392           388.87           0.86              2              2         485.03          96.16         489.49         100.62
402           401.63           2.49              2              2         489.49          87.85         493.74           92.1
411           412.76           9.64              2              2         493.74          80.98         500.18          87.43
409           407.75           1.96              1              1            482          74.25         502.02          94.27
418           420.62           9.45              2              2         500.18          79.57         505.19          84.57
410           410.06           15.6              1              1         502.02          91.96         508.79          98.73
420           420.88           0.01              2              2         505.19          84.31         509.22          88.34
475            475.1          18.16              2              2         509.22          34.12         509.47          34.37
419           420.81           3.35              1              1         508.79          87.98         510.08          89.27
428            429.2          21.71              1              1         510.08          80.88         532.58         103.38
432           431.64          36.45              1              1         532.58         100.94          535.9         104.26
433           434.17           8.36              1              1          535.9         101.73         540.85         106.68
439           439.59           4.52              1              1         540.85         101.26         541.37         101.77
447           447.19          14.46              1              1         541.37          94.18         549.16         101.97
453           454.51           3.68              1              1         549.16          94.65         551.62          97.11


Customers who did not stay:
Customer        Arrival        Service
Id              Time           Time
----            ----           ----
40             37.15           3.07
41              37.6           1.31
42             37.67           0.74
44             39.75          18.15
45             40.38           0.68
46             40.67          41.67
47             41.39           3.78
48             41.98           11.2
49             42.59           2.67
50             43.78           4.14
52             48.69           6.72
55             50.68          10.75
56             51.83           2.11
57             52.24          11.95
59             53.47          22.58
63             60.02           0.51
64             60.59           7.64
65             61.09           6.82
66             61.63           2.07
67             61.67           7.92
69             64.01           10.6
71             67.46           1.77
72             67.54           1.97
73             67.94           9.41
74             67.97           1.05
76             70.24           3.99
77             70.73            1.8
79             73.54           2.45
80             74.41           1.29
81             74.51          11.36
82              77.6          19.51
83             78.88           5.65
85             80.15           1.98
87             80.75           0.52
89             82.38           0.28
90             82.59            4.9
91             82.67           0.78
93             84.92           1.17
94             85.95          14.71
95             87.87           1.32
96             88.29           2.09
98             90.14           4.49
99             91.04          56.33
100            91.78           4.39
101            93.29           0.25
102            95.32           6.16
103            97.04           1.64
105            98.49          10.71
106            99.63            3.9
107           100.01           2.08
108           100.22           4.09
109           101.06           1.55
110           102.75           4.59
111            107.5          16.91
114           110.87          29.66
115            111.7           6.79
116           112.09           0.65
118           112.52           8.01
120           114.33           2.11
121           114.48           1.54
122           115.68           3.12
123           116.42           1.83
124           117.29           2.14
125           117.68           1.12
126           117.75           1.87
128           121.06          15.96
129           123.81           2.34
130           124.05          10.99
131           124.28           5.55
134           133.18          40.34
135           134.46           0.53
136            134.7           5.49
139           139.03           4.07
140            139.1           6.25
141           139.15          27.27
142           140.19           1.72
143           140.59           1.91
145           141.54           2.35
146           142.24           7.81
147           142.25           3.39
148           142.56           8.75
149           142.69           2.81
150           144.15          29.35
152           151.07           0.19
153           151.39          17.96
154           152.32          17.09
155           153.27           3.66
156           154.91           0.48
157           155.68           2.75
158           155.69           0.82
160           156.85           5.82
161           156.85          10.36
162           158.54            1.8
163           158.66           8.31
164           158.81          22.58
165           159.15           5.92
166           160.08           8.33
168           163.62          35.21
169           165.98           6.89
170           166.22           0.46
171           166.35           1.12
172              167           1.87
175           169.99           8.29
179           177.42          13.93
180           178.08           1.13
181           178.67          33.17
182           179.23           2.15
186           184.19          13.54
187           185.43          19.21
188           185.57           3.27
189           186.36           5.45
190           186.88          36.03
191           186.95            5.2
192           190.05           9.43
193           190.25           0.26
194           190.28           0.23
195           190.63           5.87
197           193.27          55.39
198           194.98           6.12
199           195.42          12.69
203            199.4            5.2
211           211.86           3.13
214           213.88          10.21
215           215.11           0.91
216           215.18           7.87
217           215.86            5.7
219           220.89           2.52
220           221.71           7.24
221           222.88           3.51
222           225.36           2.37
223           225.82           3.83
224           226.51           12.2
225           228.85           3.15
226           228.94           0.81
227           228.96          10.25
228           229.38          10.79
229           230.48           4.86
231           232.05           3.61
233           233.51          26.95
234           234.07          22.51
235           234.19           15.5
236           234.59           1.23
237            235.7          22.54
238           236.55          23.87
239           237.34           4.12
240            238.4          18.46
242            239.3           3.82
243           241.33           3.09
244            241.4           1.17
245           242.15          13.75
246           243.23           3.86
248           244.89           27.7
249           246.21           0.37
250           247.46           3.99
251           248.69          12.22
253           252.43           2.07
254           253.85           2.19
257           256.03          13.33
258           256.58            5.3
259           257.61          46.54
260           258.62           3.24
261           259.78           8.14
262           260.41          12.95
263           262.48          10.48
264           262.56            0.2
266           264.82           3.09
267           265.82           4.84
268           266.25           9.97
269           266.41          14.54
274           272.95           2.88
275           274.65          16.33
276           275.13           5.16
277           275.39           5.09
278           275.91           2.37
279           276.85          19.28
280           277.01           9.87
282           277.99           0.66
283           278.36           13.4
286           279.95           2.57
287           280.07           8.08
288           280.11          10.71
289           280.11           2.34
290           280.13          11.89
292           281.56          31.72
293           281.59          21.55
294           282.14           1.03
295           282.47           6.02
296            283.1           17.2
297           284.26           3.44
298            285.4           2.57
300            287.8          21.29
301            288.8          35.73
302           290.44           5.09
303           290.55          14.52
304           290.65          23.81
306           291.34           5.54
307           291.37          12.21
308           291.46            5.2
309           292.14           2.35
310           292.77          13.95
312           301.18           3.43
313           302.05          16.06
314           303.69           7.03
315           305.49           8.92
321           314.25           3.68
322           314.77           4.76
323           314.86           2.43
324           315.54           6.28
326           317.17           8.92
327            319.1           2.49
328            321.4           5.09
329           321.79          15.78
330           321.94           9.85
331           325.22           0.53
332           325.31           4.25
333           325.64           15.3
334            326.1           4.07
338            332.1           1.03
340           333.27            6.4
341           333.64           0.45
343           336.07          17.65
344           336.18           3.57
345           336.51            8.2
346           336.71              6
347            339.9           8.57
348           340.06           9.61
349            340.5           3.23
350           342.02           3.13
351           342.75           8.48
352           343.65           8.72
353           343.98           0.84
354           344.11          17.78
356           346.98          35.45
357           350.06           3.34
358           350.31          16.81
359            350.4           0.54
360           351.11           1.85
361            352.2          25.33
362           353.16           2.31
363           355.46          13.15
365           360.27           4.23
366            360.3           2.71
367           361.72           3.02
368           361.85          11.05
369           362.68           8.46
370            362.9           0.77
372           365.26           6.47
373           365.53           0.74
374           365.94           8.83
375           366.18           1.22
376           368.91           0.81
378            370.6           4.59
379           372.59          12.85
381           375.24          12.57
382           375.47           0.83
383           375.85           8.04
384           379.01           7.78
385           379.04          14.21
386           380.08           1.79
387           380.76          28.98
388            382.8           7.48
389            384.8          20.85
390           385.82           17.5
391            386.8           1.86
393           390.97           9.85
394           391.63           0.19
395           391.77           6.38
396           395.33          19.71
397           395.38           3.05
398           397.41            1.5
399           398.11           4.66
400           398.68           5.78
401            399.4           3.24
403           401.94          42.06
404           402.03           1.87
405           406.12          11.21
406           406.41          14.21
407           406.58           0.75
408           406.82          15.69
412           415.29           30.2
413           416.02           1.97
414           416.11           2.39
415           416.33          15.44
416           417.22           2.04
417           417.79           2.89
421           421.64           5.86
422           421.92           2.17
423           423.12           0.53
424           423.13           8.09
425           423.78           0.72
426            425.5            5.2
427           427.12            1.7
429           429.49           1.41
430           430.07           4.66
431           431.23          17.42
434           435.65           3.58
435              436           6.81
436           436.58              3
437           438.28           5.07
438           438.59           7.62
440           440.36          17.72
441           441.39           1.94
442           441.95           3.21
443           443.03           0.96
444           443.54          18.37
445           443.99            3.5
446           444.08           7.79
448            448.5           8.69
449           448.63          39.77
450            453.2           3.07
451           453.53           1.87
452            454.2           6.64
454            457.4          12.26
455           458.85           1.49
456           459.56            2.3
457           460.45            0.2
458           460.51           2.09
459           460.62           0.18
460           461.58           7.12
461           462.79          18.39
462           463.22           0.07
463           463.86            1.6
464           464.33           4.48
465           464.46           7.89
466           464.76           4.45
467            465.1           2.24
468           465.56           2.66
469           465.93            2.5
470           466.41           2.09
471           469.27           5.38
472           470.66              4
473           473.63           1.37
474           474.85           2.92
476           475.48           4.26
477           475.97           5.38
478           476.97          27.82
479           477.88            3.6
Number of Tellers: 3
Number of Queues: 3
Max number allowed to wait: 10
Customer arrival rate (per hr): 30.0
Customer service time (ave min): 8.0
Number of customers arrived: 470
Number of customers served: 133
Num. Turned Away: 337
Num. who waited: 130
Average Wait: 72.09452873355839 min.
Max Wait: 167.3587376004986 min.
Std. Dev. Wait: 31.752126725605006
Ave. Service: 8.330900947043942 min.
Ave. Waiter Wait: 73.75824862740974 min.
Ave. in System: 80.05285247948541 min.
